title,sku,category,type,fabricType,fabricWeight,basePrice,stitchingCharge,discountPercent,occasion,description,images,featured,availability
"Royal Purple Gold Embroidered Suit - Viscose",LC-PF-006,party-formal-wear,ready-made,Georgette,Medium,13500,3000,0,Party Wear,"Elegant purple viscose suit with gold zardozi embroidery and scalloped dupatta. Features embroidered neckline, sleeves and hem with intricate border work. Includes embroidered chiffon dupatta with gold embellishments and matching purple trouser with embroidered bottom. Perfect for parties, mehndi functions and festive celebrations.",royal-purple-back.png|royal-purple-front.png,true,in-stock
"Crimson Majesty Bridal Lehenga - Maroon Gold",LC-BR-004,bridal-collection,ready-made,Georgette,Heavy,52000,10000,0,Bridal,"Magnificent maroon georgette bridal lehenga with heavy gold zardozi embroidery. Features chevron pattern embroidered blouse with open back design, fully embroidered pleated lehenga with golden border and scattered floral motifs, and matching embellished dupatta. Premium quality georgette with intricate handwork perfect for brides seeking royal elegance.",maroon-lehenga-front.png|maroon-lehenga-back.png,true,custom-only
"Rose Garden Embroidered Suit - Dusty Pink",LC-PF-007,party-formal-wear,ready-made,Chiffon,Medium,17500,3500,0,Party Wear,"Stunning dusty pink chiffon suit with intricate floral digital print and silver embellishments. Features heavy embroidered front panel with floral motifs, embroidered neckline and sleeves, delicate cutwork on hem border. Includes pink chiffon dupatta with embroidered borders and matching trouser. Perfect for weddings, engagements and formal celebrations.",dusty-pink-front.png|dusty-pink-back.png,true,in-stock
"Emerald Garden Hand Kharhai Suit - Teal Green & Pink",LC-HK-EG-001,hand-karhai-collection,hand-karhai,Lawn,Medium,8500,1500,0,Party Wear,"Exquisite 3-piece hand Kharhai embroidered suit featuring delicate floral patterns in pink resham thread on teal green lawn. Includes embroidered shirt with detailed front panel and sleeves, pink chiffon dupatta with hand-embroidered borders, and matching teal green cotton cambric trouser. 40-50 hours of artisan craftwork. Perfect for weddings and festive occasions.",emerald-garden-front.png|emerald-garden-back.png,true,in-stock
"Vanilla Star Embroidered Suit - Off White Black",LC-CE-006,casual-everyday,ready-made,Cotton,Light,5500,1800,0,Casual,"Elegant off-white cotton suit with black star motif embroidery and lace detailing. Features unique star pattern embroidery on sleeves and hem, black shoulder yoke with contrast detailing, straight cut silhouette with side slits, and embroidered trouser with matching star pattern. Includes black chiffon dupatta with lace border. Perfect for office wear, casual outings and everyday elegance.",vanilla-star-front.png|vanilla-star-back.png,true,in-stock
"Sunshine Bloom Embroidered Suit - Mustard Yellow",LC-CE-004,casual-everyday,ready-made,Cambric,Medium,6500,2000,0,Casual,"Vibrant mustard yellow cambric suit with traditional floral embroidery in red and green thread. Features embroidered neckline with mirror work, embellished sleeves with bell cuffs, scattered floral motifs on frock-style shirt and embroidered hem border. Includes matching yellow dupatta with red border and coordinating trouser. Perfect for Eid, casual parties and festive gatherings.",sunshine-bloom-front.png|sunshine-bloom-back.png,true,in-stock
"Lime Meadow Embroidered Suit - Parrot Green",LC-CE-005,casual-everyday,ready-made,Cotton,Medium,7000,2200,0,Casual,"Fresh parrot green cotton suit with vibrant pink and yellow floral embroidery. Features heavily embroidered neckline with intricate patterns, embellished sleeves and borders, scattered floral motifs throughout, and detailed hem work. Includes matching green dupatta with embroidered borders and coordinating trouser. Ideal for casual gatherings, Eid celebrations and festive occasions.",lime-meadow-front.png|lime-meadow-back.png,true,in-stock
"Azure Elegance Embroidered Suit - Sky Blue Maroon",LC-PF-008,party-formal-wear,ready-made,Georgette,Medium,14500,3200,0,Party Wear,"Beautiful sky blue georgette anarkali suit with maroon embroidery and sequin work. Features geometric diamond pattern embroidery on front and back, embroidered sleeves with cuff details, flared anarkali style with embroidered hem border. Includes maroon chiffon dupatta with golden sequin work and matching blue trouser with embroidered bottom. Perfect for parties, weddings and formal events.",azure-elegance-front.png|azure-elegance-back.png,true,in-stock
"Midnight Elegance Embroidered Suit - Black Silver",LC-PF-009,party-formal-wear,ready-made,Georgette,Medium,16500,3500,0,Formal,"Sophisticated black georgette suit with exquisite silver zari and sequin embroidery. Features heavily embroidered front panel with geometric patterns, detailed neckline and sleeve work, scattered silver motifs, and embroidered hem border. Includes black chiffon dupatta with silver embroidered borders and matching black trouser with embroidered bottom. Perfect for evening events, formal dinners and premium occasions.",midnight-elegance-front.png|midnight-elegance-back.png,true,in-stock
"Noir Majesty Embroidered Anarkali - Black Gold",LC-PF-010,party-formal-wear,ready-made,Georgette,Medium,19500,4000,0,Formal,"Luxurious black georgette anarkali with stunning gold and silver zardozi embroidery. Features heavily embroidered front panel with intricate floral vines, embellished bell sleeves with border work, pleated anarkali style with gathered waist, embroidered hem with golden border. Includes black chiffon dupatta with gold embroidered borders and matching black trouser. Ideal for premium events, formal gatherings and special celebrations.",noir-majesty-front.png|noir-majesty-back.png,true,in-stock
